Country Code,"Series Code","YR1998","YR1999","YR2000","YR2001","YR2002","YR2003","YR2004","YR2005","YR2006","YR2007","YR2008","YR2009","YR2010","YR2011","YR2012","YR2013","YR2014","Most_Recent"
VGB,"EN.CO2.OTHX.ZS","","","","","","","","","","","","","","","","","",""
VGB,"EN.CO2.BLDG.ZS","","","","","","","","","","","","","","","","","",""
VGB,"EN.ATM.CO2E.SF.ZS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
VGB,"EN.CO2.TRAN.ZS","","","","","","","","","","","","","","","","","",""
VGB,"EN.ATM.GHGT.ZG","","","","","","","","","","","","","","","","","",""
VGB,"EN.ATM.GHGT.KT.CE","","","","","","","","","","","","","","","","","",""
BRN,"EN.ATM.CO2E.KT","5269.479","3909.022","4712.095","4506.743","4378.398","4591.084","4998.121","5005.455","4862.442","8415.765","9119.829","7862.048","8203.079","9695.548","9666.212","7803.376","9108.828","9108.828"
BRN,"EN.ATM.CO2E.PC","16.5072551390568","11.98024450717","14.1402018359085","13.2505667167475","12.6226997667694","12.9915871744735","13.9020897133146","13.7076416236259","13.1328615800135","22.4501819326476","24.0468843934903","20.4862470425148","21.1059455259326","24.6071779357534","24.1807638812452","19.2335919707382","22.1247012416688","22.1247012416688"
BRN,"EN.ATM.CO2E.KD.GD","0.466541987018132","0.335841285949876","0.393620902158523","0.36641248800577","0.342707659870057","0.349214079254923","0.378267082474875","0.377359836651521","0.351136143744561","0.606797634626829","0.670569539575754","0.588470253647644","0.59844292223114","0.681788535224342","0.673576943936219","0.555579508955146","0.664129564087482","0.664129564087482"
BRN,"EN.CO2.ETOT.ZS","75.1740139211137","75.1789976133652","77.1493212669683","76.3341067285383","75.4587155963303","78.6666666666667","76.8292682926829","76.9709543568465","58.3911234396671","54.9707602339181","54.4321329639889","68.9098250336474","75.2186588921283","73.6091298145506","71.4490674318508","72.4087591240876","72.089552238806","72.089552238806"
BRN,"EN.ATM.CO2E.GF.ZS","57.8983994432846","42.6829268292683","64.6692607003891","64.5240032546786","65.1591289782245","63.258785942492","64.9303008070433","65.6410256410256","66.6666666666667","70.6318082788671","71.2505026135907","71.2686567164179","74.7429593205186","75.2269288956127","73.6722306525038","72.1334586466165","74.3961352657005","74.3961352657005"
